id,bucket,counted_in_strict,family,category,report_path
U01,strict_unreported,yes,BUG-MEMMOVE-SOURCE,precision_correctness,$DG_REPO/reports/precision/BUG-MEMMOVE-SOURCE.md
U02,strict_unreported,yes,BUG-STRNCAT-SIDEEFFECT,precision_correctness,$DG_REPO/reports/precision/BUG-STRNCAT-SIDEEFFECT.md
U03,strict_unreported,yes,BUG-SETJMP-LONGJMP-MISSLICE,precision_correctness,$DG_REPO/reports/precision/BUG-SETJMP-LONGJMP-MISSLICE.md
U04,strict_unreported,yes,BUG-CALLBACK-ESCAPE-SYMBOL-LOSS,precision_correctness,$DG_REPO/reports/precision/BUG-CALLBACK-ESCAPE-SYMBOL-LOSS.md
U05,strict_unreported,yes,BUG-CONSTRUCTOR-INIT-DROPPED,precision_correctness,$DG_REPO/reports/precision/BUG-CONSTRUCTOR-INIT-DROPPED.md
U06,strict_unreported,yes,BUG-CMPXCHG-LOCAL-INIT-MISSLICE,precision_correctness,$DG_REPO/reports/precision/BUG-CMPXCHG-LOCAL-INIT-MISSLICE.md
U07,strict_unreported,yes,BUG-BCOPY-LEN-SIDEEFFECT,library_side_effect_modeling,$DG_REPO/reports/precision/BUG-BCOPY-LEN-SIDEEFFECT.md
U08,strict_unreported,yes,BUG-EXPLICIT-BZERO-DROPPED,library_side_effect_modeling,$DG_REPO/reports/precision/BUG-EXPLICIT-BZERO-DROPPED.md
U09,strict_unreported,yes,BUG-MEMFROB-LEN-SIDEEFFECT,library_side_effect_modeling,$DG_REPO/reports/precision/BUG-MEMFROB-LEN-SIDEEFFECT.md
U10,strict_unreported,yes,BUG-QSORT-CALL-DROPPED,callback_or_state_side_effect_modeling,$DG_REPO/reports/precision/BUG-QSORT-CALL-DROPPED.md
U11,strict_unreported,yes,BUG-SWAB-CALL-DROPPED,library_side_effect_modeling,$DG_REPO/reports/precision/BUG-SWAB-CALL-DROPPED.md
U12,strict_unreported,yes,BUG-STPCPY-STPNCPY-DISCARD-RET,string_api_effect_tracking,$DG_REPO/reports/precision/BUG-STPCPY-STPNCPY-DISCARD-RET.md
U13,strict_unreported,yes,BUG-WCHAR-MUTATOR-DROPPED,wide_char_api_effect_tracking,$DG_REPO/reports/precision/BUG-WCHAR-MUTATOR-DROPPED.md
U14,strict_unreported,yes,BUG-SYSAPI-OUTBUF-DROPPED,sysapi_output_buffer_effects,$DG_REPO/reports/precision/BUG-SYSAPI-OUTBUF-DROPPED.md
U15,strict_unreported,yes,BUG-ERRNO-SIDEEFFECT-DROPPED,errno_semantic_effects,$DG_REPO/reports/precision/BUG-ERRNO-SIDEEFFECT-DROPPED.md
U16,strict_unreported,yes,BUG-STATEFUL-API-SIDEEFFECT-DROPPED,stateful_api_effects,$DG_REPO/reports/precision/BUG-STATEFUL-API-SIDEEFFECT-DROPPED.md
O01,overlap_risk,no,BUG-INDIRECT-GOTO-CRASH,fatal_overlap_risk,$DG_REPO/reports/fatal/BUG-INDIRECT-GOTO-CRASH.md
O02,overlap_risk,no,BUG-INLINE-ASM-MEM-SIDEEFFECT,precision_overlap_risk,$DG_REPO/reports/precision/BUG-INLINE-ASM-MEM-SIDEEFFECT.md
O03,overlap_risk,no,BUG-VA-COPY-MISSLICE,precision_overlap_risk,$DG_REPO/reports/precision/BUG-VA-COPY-MISSLICE.md
S01,already_submitted_upstream,no,BUG-SWITCH-SUCCESSORS-CRASH,fatal_upstream_related,$DG_REPO/reports/fatal/BUG-SWITCH-SUCCESSORS-CRASH.md
S02,already_submitted_upstream,no,BUG-VECTOR-INSERTELEMENT-CRASH,fatal_upstream_related,$DG_REPO/reports/fatal/BUG-VECTOR-INSERTELEMENT-CRASH.md
S03,already_submitted_upstream,no,BUG-COMDAT-INVALID-IR,fatal_upstream_related,$DG_REPO/reports/fatal/BUG-COMDAT-INVALID-IR.md
S04,already_submitted_upstream,no,BUG-DBG-VALUE-CRASH,fatal_upstream_related,$DG_REPO/reports/fatal/BUG-DBG-VALUE-CRASH.md
S05,already_submitted_upstream,no,BUG-NORETURN-UNREACHABLE,precision_upstream_related,$DG_REPO/reports/precision/BUG-NORETURN-UNREACHABLE.md
