group,id,status,category,cause_short,evidence
submitted14,2734,not_a_bug,expected_tool_behavior,eva_recursion_specification_or_input_issue_not_slicing_defect,$SLICING_REPO/submitted-issue-sources/issue-2734/RESOLUTION_NOTE_NOT_A_BUG.md
submitted14,2735,reproduced_mismatch,ub_sensitive_semantic_mismatch,unsequenced_read_write_linearization_changes_g_371_path,$SLICING_REPO/submitted-issue-sources/issue-2735/ROOT_CAUSE_ANALYSIS_g371.md
submitted14,2736,reproduced,loop_nontermination,critical_loop_exit_condition_dropped,$SLICING_REPO/defects/debug_deadloop_test47
submitted14,2737,reproduced_mismatch,initializer_loss,l_4351_initializer_removed_while_use_preserved,$SLICING_REPO/submitted-issue-sources/issue-2737/ROOT_CAUSE_ANALYSIS.md
submitted14,2739,reproduced_crash,initializer_loss_crash,pointer_init_removed_then_dereferenced,$SLICING_REPO/submitted-issue-sources/issue-2739/ROOT_CAUSE_ANALYSIS.md
submitted14,2740,reproduced,function_pointer_rename_mismatch,stale_function_pointer_targets_after_symbol_renaming,$SLICING_REPO/submitted-issue-sources/issue-2740/CONSTRUCTED_REPRO_2026-03-28.md
submitted14,2741,reproduced,vla_runtime_stub_missing,exported___fc_vla_alloc_has_no_linkable_runtime_definition,$SLICING_REPO/submitted-issue-sources/issue-2741/ROOT_CAUSE_ANALYSIS.md
submitted14,2742,reproduced,varargs_type_system,illegal_va_list_array_type_assignment_in_slice,$SLICING_REPO/submitted-issue-sources/issue-2742
submitted14,2746,reproduced,initializer_loss,initialization_expression_dropped,$SLICING_REPO/submitted-issue-sources/issue-2746
submitted14,2747,reproduced,uninitialized_divisor_zero,uninitialized_divisor_l_488_leads_to_sigfpe,$SLICING_REPO/submitted-issue-sources/issue-2747/ROOT_CAUSE_ANALYSIS.md
submitted14,2748,reproduced_mismatch,initializer_and_pointer_chain_loss,init_loss_plus_pointer_chain_degradation,$SLICING_REPO/submitted-issue-sources/issue-2748/ROOT_CAUSE_ANALYSIS.md
submitted14,2749,reproduced,function_slicing_dataflow_break,function_slicing_deforms_parameter_and_dataflow,$SLICING_REPO/submitted-issue-sources/issue-2749
submitted14,2750,reproduced,precision_over_preservation,unused_global_over_preserved,$SLICING_REPO/submitted-issue-sources/issue-2750
submitted14,2751,reproduced,precision_over_preservation,unmodified_criterion_over_preserved,$SLICING_REPO/submitted-issue-sources/issue-2751
additional4,2753-007,reproduced,atomic_runtime_symbol_missing,exported_slice_keeps___fc_atomic_symbols_without_implementations,$SLICING_REPO/issues/007-c11-atomics-undefined-symbols
additional4,2753-010,reproduced,lifecycle_hook_semantic_drop,constructor_destructor_atexit_cleanup_effects_dropped,$SLICING_REPO/issues/010-gnu-constructor-dropped
additional4,2753-015,reproduced,strict_c11_pid_t_visibility,export_introduces_pid_t_and_strict_c11_compile_fails,$SLICING_REPO/issues/015-posix-pid_t-missing
additional4,2753-016,reproduced,slice_loop_inv_nyi_abort,slice_loop_inv_aborts_on_term_lval_dependency_nyi,$SLICING_REPO/issues/016-slicing-term-lval-deps
