iid	check	final_status	evidence	category	sub_cause
2734	recursive_case	not_a_bug	maintainer_closed_as_invalid_user_input	expected_tool_behavior	recursive_calls_without_specification_trigger_eva_user_error_not_slicing_defect
2735	value_mismatch	reproduced_mismatch	methodology_summary_mismatch	ub_sensitive_semantic_mismatch	unsequenced_read_write_on_g_24_is_linearized_in_slice_and_changes_g_371_path
2736	loop_condition_removed	reproduced	timeout_on_rebuilt_mutant_and_mutant_sliced	loop_nontermination	unsigned_underflow_in_proxy_length_parameter_drives_realsmith_3L7lB_slice_1_into_near_unbounded_loop
2737	const_init_loss	reproduced_mismatch	methodology_summary_mismatch	initializer_loss	local_const_array_l_4351_initializer_dropped_but_l_4351_1_still_used
2739	pointer_init_loss	reproduced_crash	methodology_note_and_stable_segfault	initializer_loss_crash	local_pointer_l_2338_declaration_kept_but_init_to_g_1320_dropped_then_dereferenced
2740	fnptr_link_error	reproduced	constructed_stale_fnptr_target_link_error	function_pointer_rename_mismatch	sliced_function_symbols_are_renamed_but_indirect_target_references_may_remain_old_names_causing_undefined_reference
2741	vla_alloc_link_error	reproduced	constructed_vla_case_undefined___fc_vla_alloc	vla_runtime_stub_missing	sliced_output_emits___fc_vla_alloc_call_without_linkable_runtime_definition_under_plain_gcc_link
2742	varargs_array_assign	reproduced	array_type_assignment_error	varargs_type_system	sliced_code_assigns_pointer_to_array_typed_va_list_and_fails_compilation
2746	init_expr_loss	reproduced	last_line_diff	initializer_loss	local_initialization_expression_removed_leaving_uninitialized_value_use
2747	div_by_zero_from_uninit	reproduced	50_of_50_sigfpe_on_rebuilt_source_sliced	uninitialized_divisor_zero	uninitialized_local_l_488_is_used_as_modulo_divisor_and_triggers_sigfpe_when_zero
2748	pointer_dependency_missing	reproduced_mismatch	methodology_summary_mismatch	initializer_and_pointer_chain_loss	multiple_locals_l_2835_l_2939_l_99_used_without_initializers_and_pointer_chain_degraded
2749	function_slice_incorrect	reproduced	runtime_output_diff	function_slicing_dataflow_break	inline_function_parameter_dataflow_lost_or_deformed_in_sliced_version
2750	over_preserve_unused_global	reproduced	unused_variable_warning	precision_over_preservation	unused_global_g_170_retained_in_slice_without_dependency_to_criterion
2751	over_preserve_unmodified_criterion	reproduced	g_1141_present_in_slice	precision_over_preservation	unmodified_criterion_g_1141_retained_due_to_over_conservative_marking
